field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
E01_same_unit_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E02_depth_median_m,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,mediana das profundidades positivas informadas dos poços na célula.,Quantil calculado apenas sobre profundidades numéricas positivas validadas pela regra E02/V01.,m,Descreve distribuição das profundidades cadastradas.,"Profundidade total não equivale ao intervalo captado, tela, topo/base do aquífero ou profundidade de investigação efetiva.",UNKNOWN quando não há profundidades positivas.
E02_depth_p10_m,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,P10 das profundidades positivas informadas dos poços na célula.,Quantil calculado apenas sobre profundidades numéricas positivas validadas pela regra E02/V01.,m,Descreve distribuição das profundidades cadastradas.,"Profundidade total não equivale ao intervalo captado, tela, topo/base do aquífero ou profundidade de investigação efetiva.",UNKNOWN quando não há profundidades positivas.
E02_depth_p90_m,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,P90 das profundidades positivas informadas dos poços na célula.,Quantil calculado apenas sobre profundidades numéricas positivas validadas pela regra E02/V01.,m,Descreve distribuição das profundidades cadastradas.,"Profundidade total não equivale ao intervalo captado, tela, topo/base do aquífero ou profundidade de investigação efetiva.",UNKNOWN quando não há profundidades positivas.
E03_aquifer_n_unique,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Número de nomes distintos de aquífero informados entre os poços E03 da célula.,Contagem de valores não vazios e distintos do campo de aquífero cadastral após normalização usada na auditoria.,n,Mostra diversidade nominal do cadastro dentro da célula.,Não é número demonstrado de sistemas aquíferos fisicamente interceptados. Nomes cadastrais podem ter escalas e convenções diferentes.,UNKNOWN quando não há E03. Zero somente quando o subconjunto avaliável é vazio.
E04_zero_review_count,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Contagem definida pelo nome do campo no produto correspondente.,Contagem direta dos registros que satisfazem a regra específica do módulo.,n,Interpretar como quantidade documental ou espacial sob a regra declarada.,"Não transformar em qualidade, prioridade ou independência sem método adicional.","Zero é ausência de registros que satisfaçam a regra, não ausência física do fenômeno."
E05_zero_review_count,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Contagem definida pelo nome do campo no produto correspondente.,Contagem direta dos registros que satisfazem a regra específica do módulo.,n,Interpretar como quantidade documental ou espacial sob a regra declarada.,"Não transformar em qualidade, prioridade ou independência sem método adicional.","Zero é ausência de registros que satisfaçam a regra, não ausência física do fenômeno."
E07_apparent_total_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,"Percentual dos suportes do estrato cujas células contêm a evidência selecionada, independentemente da unidade de origem da evidência.",100 × suportes cuja célula tem qualquer evidência do código ÷ total de suportes do estrato.,%,Representa a cobertura aparente que a agregação produziria sem estratificação.,Pode mascarar ausência de evidência do próprio estrato.,UNKNOWN sem suporte avaliável.
E07_cross_domain_masking_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E07_cross_unit_masking_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E07_masking_share_of_apparent_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,Fração da cobertura aparente que corresponde a mascaramento entre estratos.,100 × cross_stratum_masking_pct ÷ apparent_total_support_coverage_pct.,%,Mostra quanto da presença aparente desaparece quando se exige compatibilidade de estrato.,Não mede erro do mapa de base.,UNKNOWN quando a cobertura aparente é zero.
E07_occupied_cells_pct,Estudo de escalas,scale_candidate_decision_matrix.csv | scale_candidate_summary.csv,Percentual das células da malha que contêm ao menos uma feição da evidência indicada.,100 × células com contagem > 0 ÷ número total de células.,%,Mostra quanto a presença cadastral se espalha entre unidades areais naquela escala.,É fortemente dependente do tamanho e da origem da malha. Não mede aumento real do conhecimento quando a célula cresce.,Zero somente se nenhuma célula contiver a evidência.
E07_origin_jaccard_min,Estudo de escalas,scale_candidate_decision_matrix.csv,Coeficiente de Jaccard para concordância de presença entre duas representações.,"J = |A ∩ B| ÷ |A ∪ B|, usando os mesmos pontos de suporte.",0 a 1,1 significa presença/ausência idêntica onde ao menos uma representação possui presença. Valores menores indicam maior sensibilidade.,Não compara magnitude das contagens e não valida uma escala.,UNKNOWN se a união estiver vazia.
E07_origin_mismatch_max_pct,Estudo de escalas,scale_candidate_decision_matrix.csv,Percentual de pontos de suporte em que duas representações discordam no estado presença/ausência.,100 × número de suportes com estado diferente ÷ número total de suportes.,%,"Quanto maior, maior a sensibilidade espacial entre escalas ou origens.",Não é taxa de erro contra uma verdade de campo.,UNKNOWN sem suporte comum.
E07_same_domain_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E07_same_unit_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E07_test_types,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Conjunto de tipos de ensaio de bombeamento cadastrados nos poços E07 da célula.,Lista dos valores distintos do campo tipo_teste no snapshot enriquecido SGB 2024.,texto categórico,Permite saber que classes documentais de teste aparecem na célula.,"Tipo cadastrado não certifica execução correta, interpretação adequada ou independência do ensaio.",UNKNOWN quando não existe E07 ou o tipo não está informado.
E09_apparent_total_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,"Percentual dos suportes do estrato cujas células contêm a evidência selecionada, independentemente da unidade de origem da evidência.",100 × suportes cuja célula tem qualquer evidência do código ÷ total de suportes do estrato.,%,Representa a cobertura aparente que a agregação produziria sem estratificação.,Pode mascarar ausência de evidência do próprio estrato.,UNKNOWN sem suporte avaliável.
E09_cross_domain_masking_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E09_cross_unit_masking_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E09_masking_share_of_apparent_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,Fração da cobertura aparente que corresponde a mascaramento entre estratos.,100 × cross_stratum_masking_pct ÷ apparent_total_support_coverage_pct.,%,Mostra quanto da presença aparente desaparece quando se exige compatibilidade de estrato.,Não mede erro do mapa de base.,UNKNOWN quando a cobertura aparente é zero.
E09_occupied_cells_pct,Estudo de escalas,scale_candidate_decision_matrix.csv | scale_candidate_summary.csv,Percentual das células da malha que contêm ao menos uma feição da evidência indicada.,100 × células com contagem > 0 ÷ número total de células.,%,Mostra quanto a presença cadastral se espalha entre unidades areais naquela escala.,É fortemente dependente do tamanho e da origem da malha. Não mede aumento real do conhecimento quando a célula cresce.,Zero somente se nenhuma célula contiver a evidência.
E09_origin_jaccard_min,Estudo de escalas,scale_candidate_decision_matrix.csv,Coeficiente de Jaccard para concordância de presença entre duas representações.,"J = |A ∩ B| ÷ |A ∪ B|, usando os mesmos pontos de suporte.",0 a 1,1 significa presença/ausência idêntica onde ao menos uma representação possui presença. Valores menores indicam maior sensibilidade.,Não compara magnitude das contagens e não valida uma escala.,UNKNOWN se a união estiver vazia.
E09_origin_mismatch_max_pct,Estudo de escalas,scale_candidate_decision_matrix.csv,Percentual de pontos de suporte em que duas representações discordam no estado presença/ausência.,100 × número de suportes com estado diferente ÷ número total de suportes.,%,"Quanto maior, maior a sensibilidade espacial entre escalas ou origens.",Não é taxa de erro contra uma verdade de campo.,UNKNOWN sem suporte comum.
E09_same_domain_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E09_same_unit_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E09_zero_review_count,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Contagem definida pelo nome do campo no produto correspondente.,Contagem direta dos registros que satisfazem a regra específica do módulo.,n,Interpretar como quantidade documental ou espacial sob a regra declarada.,"Não transformar em qualidade, prioridade ou independência sem método adicional.","Zero é ausência de registros que satisfaçam a regra, não ausência física do fenômeno."
E10_apparent_total_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,"Percentual dos suportes do estrato cujas células contêm a evidência selecionada, independentemente da unidade de origem da evidência.",100 × suportes cuja célula tem qualquer evidência do código ÷ total de suportes do estrato.,%,Representa a cobertura aparente que a agregação produziria sem estratificação.,Pode mascarar ausência de evidência do próprio estrato.,UNKNOWN sem suporte avaliável.
E10_available_fields_median,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Mediana do número de componentes físico-químicos ou hidroquímicos disponíveis por poço E10 na célula.,Para cada E10 conta-se quantos campos da lista E10 estão disponíveis. Depois calcula-se a mediana.,n de campos,"Valores maiores significam que, entre os E10, mais componentes documentais tendem a estar preenchidos.",Não é número de analitos de um painel laboratorial completo nem qualidade analítica.,UNKNOWN quando não existe E10 na célula.
E10_cross_domain_masking_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E10_cross_unit_masking_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E10_masking_share_of_apparent_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,Fração da cobertura aparente que corresponde a mascaramento entre estratos.,100 × cross_stratum_masking_pct ÷ apparent_total_support_coverage_pct.,%,Mostra quanto da presença aparente desaparece quando se exige compatibilidade de estrato.,Não mede erro do mapa de base.,UNKNOWN quando a cobertura aparente é zero.
E10_n_EC,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Número de poços E10 da célula com condutividade elétrica disponível.,Contagem direta de registros E10 com campo de condutividade elétrica válido segundo a extração.,n,Quantifica disponibilidade de CE dentro do subconjunto hidroquímico parcial.,"Não certifica unidade, método, data ou comparabilidade entre medições sem metadados adicionais.",Zero é ausência documental de CE no conjunto adquirido.
E10_n_chemical_parameter,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Número de poços E10 da célula com parâmetro químico e concentração presentes na exportação plana.,Contagem direta segundo os campos químicos disponíveis no snapshot atual.,n,Quantifica um componente químico disponível no formato plano.,"Não representa painel hidroquímico completo. No snapshot auditado, o parâmetro plano não pode ser generalizado a toda a química do poço.",Zero é ausência desse componente no conjunto adquirido.
E10_n_pH,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Número de poços E10 da célula com pH disponível.,Contagem direta de registros E10 com pH válido segundo a extração.,n,Quantifica disponibilidade de pH.,"Não certifica data, método, temperatura ou qualidade analítica.",Zero é ausência documental no conjunto adquirido.
E10_n_temperature,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Número de poços E10 da célula com temperatura disponível.,Contagem direta de registros E10 com temperatura informada.,n,Quantifica disponibilidade documental de temperatura.,Não implica que a temperatura seja da água in situ ou comparável entre campanhas sem metadados.,Zero é ausência documental no conjunto adquirido.
E10_occupied_cells_pct,Estudo de escalas,scale_candidate_decision_matrix.csv | scale_candidate_summary.csv,Percentual das células da malha que contêm ao menos uma feição da evidência indicada.,100 × células com contagem > 0 ÷ número total de células.,%,Mostra quanto a presença cadastral se espalha entre unidades areais naquela escala.,É fortemente dependente do tamanho e da origem da malha. Não mede aumento real do conhecimento quando a célula cresce.,Zero somente se nenhuma célula contiver a evidência.
E10_origin_jaccard_min,Estudo de escalas,scale_candidate_decision_matrix.csv,Coeficiente de Jaccard para concordância de presença entre duas representações.,"J = |A ∩ B| ÷ |A ∪ B|, usando os mesmos pontos de suporte.",0 a 1,1 significa presença/ausência idêntica onde ao menos uma representação possui presença. Valores menores indicam maior sensibilidade.,Não compara magnitude das contagens e não valida uma escala.,UNKNOWN se a união estiver vazia.
E10_origin_mismatch_max_pct,Estudo de escalas,scale_candidate_decision_matrix.csv,Percentual de pontos de suporte em que duas representações discordam no estado presença/ausência.,100 × número de suportes com estado diferente ÷ número total de suportes.,%,"Quanto maior, maior a sensibilidade espacial entre escalas ou origens.",Não é taxa de erro contra uma verdade de campo.,UNKNOWN sem suporte comum.
E10_same_domain_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E10_same_unit_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
E11_age_median_years,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Mediana da idade da evidência hidrogeológica datada mais recente entre os poços E11 da célula.,Para cada E11 calcula-se a idade da data mais recente em relação ao corte. Depois calcula-se a mediana.,anos,Valores maiores indicam documentação datada mais antiga entre os poços com data.,"Não é idade da água, do aquífero ou do poço. Poços sem E11 ficam fora da estatística.",UNKNOWN quando não existe E11 na célula.
E11_age_p25_years,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Percentil 25 da idade da evidência mais recente dos poços E11 da célula.,"Quantil 0,25 das idades de E11, usando quantile do pandas com interpolação linear.",anos,Descreve a parte mais recente da distribuição de idades documentais.,Não é duração de monitoramento.,UNKNOWN sem E11.
E11_age_p75_years,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Percentil 75 da idade da evidência mais recente dos poços E11 da célula.,"Quantil 0,75 das idades de E11, usando quantile do pandas com interpolação linear.",anos,Ajuda a identificar se uma parcela importante dos registros datados é antiga.,Não é duração de monitoramento nem idade do recurso.,UNKNOWN sem E11.
E12_comparison_statuses,Malhas de evidência,malha_evidencia_1000km2.csv | malha_evidencia_250km2.csv | malha_evidencia_500km2.csv,Conjunto de estados produzidos pela auditoria de comparação hidroestratigráfica dos poços E12 na célula.,Agregação dos rótulos de revisão existentes nos registros E12.,texto categórico,Permite saber por que há registros que exigem revisão.,Revisão não é sinônimo de contradição. Uma unidade aflorante pode diferir do aquífero captado em profundidade.,UNKNOWN quando não existe E12 ou não há rótulo de comparação.
T01_test_dated_n,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Contagem de poços da camada documental T01 na célula.,Soma direta do indicador booleano T01 por célula.,n,Quantifica quantos poços possuem aquela documentação demonstrada.,"Não mede qualidade intrínseca do valor, representatividade vertical ou independência.","Zero significa que nenhum registro adquirido demonstrou a condição, não que ela seja fisicamente inexistente."
T01_test_dated_pct_of_wells,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Percentual dos poços da célula que satisfazem a camada documental T01.,"100 × n_T01 ÷ vt_n_wells, quando vt_n_wells > 0.",%,Descreve completude documental vertical ou temporal dentro de células com poços.,Não é percentual da espessura do aquífero conhecida nem duração do monitoramento.,UNKNOWN quando a célula não contém poços.
T02_chemistry_dated_n,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Contagem de poços da camada documental T02 na célula.,Soma direta do indicador booleano T02 por célula.,n,Quantifica quantos poços possuem aquela documentação demonstrada.,"Não mede qualidade intrínseca do valor, representatividade vertical ou independência.","Zero significa que nenhum registro adquirido demonstrou a condição, não que ela seja fisicamente inexistente."
T02_chemistry_dated_pct_of_wells,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Percentual dos poços da célula que satisfazem a camada documental T02.,"100 × n_T02 ÷ vt_n_wells, quando vt_n_wells > 0.",%,Descreve completude documental vertical ou temporal dentro de células com poços.,Não é percentual da espessura do aquífero conhecida nem duração do monitoramento.,UNKNOWN quando a célula não contém poços.
T03_level_dated_n,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Contagem de poços da camada documental T03 na célula.,Soma direta do indicador booleano T03 por célula.,n,Quantifica quantos poços possuem aquela documentação demonstrada.,"Não mede qualidade intrínseca do valor, representatividade vertical ou independência.","Zero significa que nenhum registro adquirido demonstrou a condição, não que ela seja fisicamente inexistente."
T03_level_dated_pct_of_wells,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Percentual dos poços da célula que satisfazem a camada documental T03.,"100 × n_T03 ÷ vt_n_wells, quando vt_n_wells > 0.",%,Descreve completude documental vertical ou temporal dentro de células com poços.,Não é percentual da espessura do aquífero conhecida nem duração do monitoramento.,UNKNOWN quando a célula não contém poços.
T04_any_dated_n,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Contagem de poços da camada documental T04 na célula.,Soma direta do indicador booleano T04 por célula.,n,Quantifica quantos poços possuem aquela documentação demonstrada.,"Não mede qualidade intrínseca do valor, representatividade vertical ou independência.","Zero significa que nenhum registro adquirido demonstrou a condição, não que ela seja fisicamente inexistente."
T04_any_dated_pct_of_wells,Vertical e temporal,vertical_temporal_1000km2.csv | vertical_temporal_100km2.csv | vertical_temporal_150km2.csv | vertical_temporal_250km2.csv | vertical_temporal_500km2.csv,Percentual dos poços da célula que satisfazem a camada documental T04.,"100 × n_T04 ÷ vt_n_wells, quando vt_n_wells > 0.",%,Descreve completude documental vertical ou temporal dentro de células com poços.,Não é percentual da espessura do aquífero conhecida nem duração do monitoramento.,UNKNOWN quando a célula não contém poços.
