cell_id,scale_km2,area_effective_km2,n_wells_raw,source_snapshot_overlap_n,pct_source_snapshot_overlap,coordinate_sites_n,coordinate_compression_n,coordinate_compression_pct,review_high_clusters_n,review_high_reduction_n,review_high_reduction_pct,review_all_clusters_n,review_all_reduction_n,review_all_reduction_pct,duplicate_candidate_wells_n,duplicate_candidate_wells_pct,high_duplicate_candidate_wells_n,high_duplicate_candidate_wells_pct,exact_colocation_wells_n,exact_colocation_wells_pct,nn_lt_100m_n,nn_lt_100m_pct,nn_lt_500m_n,nn_lt_500m_pct,nn_lt_1000m_n,nn_lt_1000m_pct,nearest_neighbor_median_m,documentary_domains_mean,documentary_domains_median,zero_domains_n,zero_domains_pct,fourplus_domains_n,fourplus_domains_pct,dated_domains_mean,dated_domains_median,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,specific_capacity_both_sources_n,specific_capacity_source_echo_n,specific_capacity_source_echo_pct,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_sample_records_per_well,hydraulic_parameter_records_per_well,analysis_status
SCALE-500-O00-00013,500,499.9999999999812,34,21.0,61.76470588235294,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,47.05882352941177,26.0,76.47058823529412,29.0,85.29411764705883,106.06,3.8529411764705883,4.0,0.0,0.0,28.0,82.3529411764706,0.6470588235294118,1.0,84.0,84.0,100.0,21.0,21.0,100.0,21.0,9.0,9.0,77.0,0.2647058823529412,2.264705882352941,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00014,500,401.0019294131986,4,3.0,75.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,4.0,100.0,4.0,100.0,153.385,3.75,4.0,0.0,0.0,3.0,75.0,0.75,1.0,12.0,12.0,100.0,3.0,3.0,100.0,3.0,0.0,0.0,10.0,0.0,2.5,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00015,500,424.1287782190958,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00016,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00017,500,499.9999999999812,6,4.0,66.66666666666667,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,3.0,50.0,2962.025,4.166666666666667,4.0,0.0,0.0,6.0,100.0,0.8333333333333334,1.0,16.0,16.0,100.0,4.0,4.0,100.0,4.0,3.0,4.0,14.0,0.5,2.3333333333333335,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00018,500,499.9999999999812,5,1.0,20.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,4.0,80.0,4.0,80.0,283.69,3.2,4.0,1.0,20.0,4.0,80.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,6.0,0.8,1.2,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00019,500,499.9999999999812,12,11.0,91.66666666666667,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.666666666666664,8.0,66.66666666666667,11.0,91.66666666666667,304.58500000000004,3.9166666666666665,4.0,1.0,8.333333333333334,11.0,91.66666666666667,1.25,1.0,44.0,44.0,100.0,11.0,11.0,100.0,11.0,3.0,6.0,33.0,0.25,2.75,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00020,500,499.9999999999812,7,2.0,28.571428571428573,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.571428571428573,4.0,57.142857142857146,4.0,57.142857142857146,206.28,2.4285714285714284,3.0,2.0,28.571428571428573,2.0,28.571428571428573,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,8.0,0.42857142857142855,1.1428571428571428,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00021,500,230.96559039624856,2,1.0,50.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.0,100.0,264.1,1.5,1.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,1.5,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00022,500,209.56772805711412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00023,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00024,500,499.9999999999812,3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.4,3.6666666666666665,4.0,0.0,0.0,2.0,66.66666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,3.0,0.6666666666666666,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00025,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00026,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00027,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00028,500,499.9999999999812,37,8.0,21.62162162162162,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,32.432432432432435,22.0,59.45945945945946,30.0,81.08108108108108,178.04,3.5135135135135136,4.0,2.0,5.405405405405405,26.0,70.27027027027027,0.16216216216216217,0.0,24.0,24.0,100.0,6.0,6.0,100.0,6.0,26.0,26.0,49.0,0.7027027027027027,1.3243243243243243,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00029,500,254.9203477030727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00030,500,3.7154062322947605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00031,500,1.925047692791562,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00032,500,485.30678827355905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00033,500,499.9999999999812,4,3.0,75.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.715,1.75,1.5,2.0,50.0,1.0,25.0,0.25,0.0,3.0,3.0,100.0,0.0,0.0,,1.0,1.0,1.0,7.0,0.25,1.75,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00034,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00035,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00036,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00037,500,499.9999999999812,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.78,3.5,3.5,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,2.0,0.5,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00038,500,499.9999999999812,3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11323.46,4.0,4.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00039,500,445.6658776926377,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.0,100.0,2.0,100.0,27.35,4.0,4.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00040,500,0.10064034736677689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00041,500,417.7970708365854,7,6.0,85.71428571428571,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.857142857142854,4.0,57.142857142857146,4.0,57.142857142857146,337.19,3.7142857142857144,4.0,1.0,14.285714285714286,6.0,85.71428571428571,0.8571428571428571,1.0,20.0,17.0,85.0,5.0,4.0,80.0,5.0,3.0,6.0,18.0,0.42857142857142855,2.5714285714285716,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00042,500,499.9999999999812,41,29.0,70.73170731707317,41.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.146341463414636,35.0,85.36585365853658,38.0,92.6829268292683,133.0,3.4390243902439024,4.0,4.0,9.75609756097561,30.0,73.17073170731707,0.6585365853658537,1.0,99.0,99.0,100.0,24.0,24.0,100.0,24.0,13.0,16.0,91.0,0.3170731707317073,2.2195121951219514,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00043,500,499.9999999999812,3,2.0,66.66666666666667,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4695.81,2.6666666666666665,3.0,0.0,0.0,1.0,33.333333333333336,0.3333333333333333,0.0,5.0,5.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,6.0,0.0,2.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00044,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00045,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00046,500,499.9999999999812,7,1.0,14.285714285714286,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.142857142857146,725.79,3.2857142857142856,4.0,1.0,14.285714285714286,5.0,71.42857142857143,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,5.0,5.0,8.0,0.7142857142857143,1.1428571428571428,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00047,500,499.9999999999812,48,28.0,58.333333333333336,47.0,1.0,2.0833333333333335,47.0,1.0,2.0833333333333335,47.0,1.0,2.0833333333333335,2.0,4.166666666666667,0.0,0.0,2.0,4.166666666666667,15.0,31.25,28.0,58.333333333333336,39.0,81.25,264.115,3.6666666666666665,4.0,2.0,4.166666666666667,38.0,79.16666666666667,0.625,0.5,96.0,96.0,100.0,23.0,23.0,100.0,24.0,22.0,32.0,97.0,0.4583333333333333,2.0208333333333335,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00048,500,499.9999999999812,3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4302.16,3.6666666666666665,4.0,0.0,0.0,2.0,66.66666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,3.0,0.6666666666666666,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00049,500,343.06722535451144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00050,500,216.53105996491817,19,15.0,78.94736842105263,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,68.42105263157895,14.0,73.6842105263158,17.0,89.47368421052632,84.26,3.9473684210526314,4.0,0.0,0.0,17.0,89.47368421052632,0.8947368421052632,1.0,56.0,56.0,100.0,13.0,13.0,100.0,14.0,8.0,10.0,47.0,0.42105263157894735,2.473684210526316,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00051,500,499.9999999999812,1,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14848.29,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00052,500,499.9999999999812,2,2.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8568.65,4.0,4.0,0.0,0.0,2.0,100.0,1.0,1.0,8.0,8.0,100.0,2.0,2.0,100.0,2.0,0.0,0.0,6.0,0.0,3.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00053,500,499.9999999999812,8,6.0,75.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,25.0,4.0,50.0,1591.53,2.75,4.0,3.0,37.5,5.0,62.5,0.75,0.0,11.0,9.0,81.81818181818181,2.0,2.0,100.0,3.0,6.0,8.0,16.0,0.75,2.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00054,500,499.9999999999812,10,4.0,40.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,6.0,60.0,308.42,3.4,4.0,1.0,10.0,7.0,70.0,0.3,0.0,12.0,12.0,100.0,3.0,3.0,100.0,3.0,5.0,5.0,17.0,0.5,1.7,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00055,500,499.9999999999812,3,3.0,100.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5697.32,1.6666666666666667,0.0,2.0,66.66666666666667,1.0,33.333333333333336,0.6666666666666666,0.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,1.0,2.0,7.0,0.3333333333333333,2.3333333333333335,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00056,500,499.9999999999812,2,1.0,50.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.05,2.5,2.5,0.0,0.0,1.0,50.0,0.5,0.5,4.0,4.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,3.0,0.0,1.5,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00057,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00058,500,499.9999999999812,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030.03,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00059,500,348.53187765261424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00060,500,38.36133880687166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00061,500,442.28956780119125,6,5.0,83.33333333333333,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.333333333333336,5.0,83.33333333333333,5.0,83.33333333333333,372.205,4.333333333333333,4.0,0.0,0.0,6.0,100.0,1.0,1.0,20.0,17.0,85.0,5.0,4.0,80.0,5.0,3.0,4.0,16.0,0.5,2.6666666666666665,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00062,500,499.9999999999812,3,3.0,100.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.66666666666667,2.0,66.66666666666667,275.96,3.0,4.0,0.0,0.0,2.0,66.66666666666667,0.3333333333333333,0.0,9.0,9.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,8.0,0.0,2.6666666666666665,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00063,500,499.9999999999812,5,3.0,60.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,4.0,80.0,4.0,80.0,53.99,1.2,0.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,8.0,0.0,1.6,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00064,500,499.9999999999812,33,23.0,69.6969696969697,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.36363636363637,28.0,84.84848484848484,29.0,87.87878787878788,234.02,3.787878787878788,4.0,3.0,9.090909090909092,24.0,72.72727272727273,1.0,1.0,85.0,85.0,100.0,21.0,21.0,100.0,21.0,18.0,31.0,74.0,0.5454545454545454,2.242424242424242,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00065,500,499.9999999999812,19,7.0,36.8421052631579,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,84.21052631578948,17.0,89.47368421052632,18.0,94.73684210526316,31.33,3.5789473684210527,4.0,1.0,5.2631578947368425,14.0,73.6842105263158,0.42105263157894735,0.0,20.0,20.0,100.0,4.0,4.0,100.0,5.0,15.0,21.0,30.0,0.7894736842105263,1.5789473684210527,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00066,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00067,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00068,500,499.9999999999812,19,10.0,52.63157894736842,17.0,2.0,10.526315789473685,17.0,2.0,10.526315789473685,17.0,2.0,10.526315789473685,4.0,21.05263157894737,2.0,10.526315789473685,4.0,21.05263157894737,9.0,47.36842105263158,14.0,73.6842105263158,15.0,78.94736842105263,106.87,3.736842105263158,4.0,0.0,0.0,14.0,73.6842105263158,0.631578947368421,1.0,40.0,40.0,100.0,10.0,10.0,100.0,10.0,6.0,6.0,40.0,0.3157894736842105,2.1052631578947367,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00069,500,499.9999999999812,2,1.0,50.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12095.61,3.5,3.5,0.0,0.0,1.0,50.0,1.0,1.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,2.0,3.0,4.0,1.0,2.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00070,500,499.9999999999812,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.35,4.0,4.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00071,500,326.5481805592025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
