field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
municipality_declared,Conhecimento hidrogeológico efetivo V2.2 | Registro e auditoria,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Município declarado no cadastro do poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,texto,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
vertical_capture_interval_status,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado explícito da disponibilidade de intervalo filtrado ou aberto.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
vertical_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo da dimensão vertical.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
hydraulic_static_level_available,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de nível estático disponível.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_dynamic_level_available,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de nível dinâmico disponível.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_specific_capacity_nonnegative,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de capacidade específica disponível e não negativa.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_test_registered,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de ensaio de bombeamento cadastrado.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_test_minimum_metadata,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de ensaio com metadados documentais mínimos segundo E08.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_transmissivity_reported,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,"Indicador de transmissividade informada, sem validação do parâmetro.",Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_components_documented_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de componentes documentais E04 a E09 presentes no poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydraulic_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo da dimensão hidráulica.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
hydrochemical_partial_evidence,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de evidência hidroquímica parcial segundo E10.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrochemical_dated,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de data de coleta ou análise hidroquímica interpretável.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrochemical_samples_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de amostras hidroquímicas cadastradas na unidade de análise.,Contagem direta do indicador hydrochemical_samples entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrochemical_results_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de resultados hidroquímicos cadastrados na unidade de análise.,Contagem direta do indicador hydrochemical_results entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrochemical_parameter_types_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de tipos distintos de parâmetro hidroquímico na unidade de análise.,Contagem direta do indicador hydrochemical_parameter_types entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrochemical_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo da dimensão hidroquímica.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
temporal_any_dated,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,"Indicador de pelo menos um evento datado entre teste, química e nível.",Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_dated_domains_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de domínios distintos com evidência datada no poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_latest_evidence_date,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Data mais recente entre os eventos datados adquiridos.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,data,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_latest_evidence_age_years,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Idade da evidência datada mais recente no corte de 2026-08-29.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,anos,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_rimas_registered,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de cadastro identificado como RIMAS no snapshot atual.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_time_series_status,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado explícito da disponibilidade de série temporal completa.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo da dimensão temporal.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
independence_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão de independência,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,"Estado da independência hidrogeológica, mantido UNKNOWN nesta fase.",Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
independence_review_context,Conhecimento hidrogeológico efetivo V2.2 | Dimensão de independência,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Contexto documental ou espacial que motiva ou não revisão de independência.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
independence_duplicate_candidate_level,Conhecimento hidrogeológico efetivo V2.2 | Dimensão de independência,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,"Nível NONE, MEDIUM ou HIGH do candidato a duplicidade documental.",Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
independence_exact_coordinate_colocation,Conhecimento hidrogeológico efetivo V2.2 | Dimensão de independência,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de coordenada exatamente compartilhada por outro ID.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
independence_source_snapshot_overlap,Conhecimento hidrogeológico efetivo V2.2 | Dimensão de independência,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de presença do mesmo ID nos dois snapshots auditados.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
documentary_quality_flags_n,Conhecimento hidrogeológico efetivo V2.2 | Qualidade documental,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número total de alertas de qualidade associados ao poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
documentary_review_flags_n,Conhecimento hidrogeológico efetivo V2.2 | Qualidade documental,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de alertas de severidade REVIEW associados ao poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
documentary_invalid_flags_n,Conhecimento hidrogeológico efetivo V2.2 | Qualidade documental,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de alertas de severidade INVALID associados ao poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
documentary_state,Conhecimento hidrogeológico efetivo V2.2 | Qualidade documental,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo dos alertas de qualidade documental.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
uncertainty_state,Conhecimento hidrogeológico efetivo V2.2 | Incerteza,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado que declara a incerteza explícita sem agregação.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
uncertainty_codes,Conhecimento hidrogeológico efetivo V2.2 | Incerteza,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Lista delimitada de limitações e UNKNOWN aplicáveis ao registro.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,lista categórica,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
dimension_vector_json,Conhecimento hidrogeológico efetivo V2.2 | Matriz não agregada,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Objeto JSON com o estado separado das nove dimensões.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,JSON,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
