well_id,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,sgb2024_hydrolithologic_unit_afl,sgb2024_domain,geology_sgb_unit,geology_sgb_sigla,comparison_status,comparison_reason,manual_review_required
3500070919,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500070840,Guarani,Formação Botucatu,,(3) J3K1bt,,Formação Botucatu,K1bt,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500069727,Bauru_Caiua,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"Bauru_Caiuá não coincide com a unidade explicitada no mapa, mas a captação pode ser mais profunda",True
3500026934,Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500026935,Caiua,Grupo Caiuá,Formação Botucatu,(3) K2c,,Grupo Caiuá,K2c,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500026939,Serra geral,Grupo Caiuá,Formação Botucatu,(3) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500026957,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500026979,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500026997,Bauru,Grupo Bauru,Formação Botucatu,(4) K2b,,Formação Vale do Rio do Peixe,K2vp,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027019,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027044,Caiua,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500027149,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027154,Guarani,Formação Botucatu,,(3) J3K1bt,,Formação Botucatu,K1bt,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500027162,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027173,Bauru,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500027176,Bauru,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500027212,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027286,Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027294,Bauru,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500045287,Caiua,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500045398,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500045626,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500023356,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500023368,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500045694,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500045414,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045544,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045560,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045370,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045556,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045201,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045533,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045335,,Formação Cachoeirinha,Formação Botucatu,(5) ENch,,Formação Cachoeirinha,ENch,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045517,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045584,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045537,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045194,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045139,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045293,,Grupo Cuiaba,,(5) NPcu,,"Litofácies Cuiabá, filito",NPcufl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045213,,Grupo Caiuá,Formação Botucatu,(5) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045450,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045493,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045431,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045555,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045473,,Grupo Caiuá,Formação Botucatu,(5) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045332,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045311,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045246,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045295,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045475,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045274,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045248,,Grupo Caiuá,Formação Botucatu,(5) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045507,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045558,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045371,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045309,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045304,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045174,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045574,,Formação Ponta Grossa,Formação Furnas,(6) Dpg,,Formação Ponta Grossa,Dpg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045589,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045341,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045328,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045298,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045539,,Formação Botucatu,,(3) J3K1bt,,Formação Botucatu,K1bt,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045380,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045257,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045361,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045411,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045488,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045296,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045347,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045580,,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045570,,Formação Cachoeirinha,Formação Botucatu,(5) ENch,,Formação Cachoeirinha,ENch,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045181,,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045404,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045529,,Depósitos aluvionares,,(4) Q2a,,Depósitos aluvionares,Q2a,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045136,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500045192,,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500023202,Guarani,Formação Botucatu,,(3) J3K1bt,,Formação Botucatu,K1bt,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500023355,Bauru,Grupo Caiuá,Formação Botucatu,(4) K2c,,,,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500026962,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027045,Bauru,Grupo Bauru,Formação Botucatu,(4) K2b,,Formação Vale do Rio do Peixe,K2vp,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500027050,Bauru,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500023312,Bauru,Grupo Bauru,Formação Botucatu,(4) K2b,,Formação Vale do Rio do Peixe,K2vp,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500022928,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500045646,Serra geral,Grupo Caiuá,Formação Botucatu,(3) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500022824,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500022816,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500022567,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500022930,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500071764,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071752,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071581,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071535,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(3) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071489,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500071469,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500071450,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Serra Geral,K1sg,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500071440,Guarani,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500071332,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071321,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071286,Guarani,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500071055,Bauru_Caiua,Formação Cachoeirinha,Formação Botucatu,(5) ENch,,Formação Cachoeirinha,ENch,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"Bauru_Caiuá não coincide com a unidade explicitada no mapa, mas a captação pode ser mais profunda",True
3500071039,Guarani,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500070991,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500070764,Bauru_Caiua,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"Bauru_Caiuá não coincide com a unidade explicitada no mapa, mas a captação pode ser mais profunda",True
3500070725,Guarani,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500070687,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500070672,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500070593,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500070472,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500069979,Guarani,Grupo Bauru,Formação Botucatu,(4) K2b,,Coberturas detrito-lateríticas com concreções ferruginosas,ENdl,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500045612,Bauru,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500045709,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
