field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
priority_code_OX25,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Valor auditável de priority code OX25 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_OXY25,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Valor auditável de priority code OXY25 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_OY25,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Valor auditável de priority code OY25 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_exact_all_origins,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Indicador lógico associado a priority exact all origins nas regras da V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,booleano,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_exact_all_scales,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Indicador lógico associado a priority exact all scales nas regras da V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,booleano,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_explanation,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Valor auditável de priority explanation no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_label,Prioridade de investigação por pergunta,cell_question_priority_long.csv | priority_class_registry.csv,Valor auditável de priority label no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_max_code_across_origins,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Valor auditável de priority max code across origins no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_max_code_across_scales,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority max code across scales no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_min_code_across_origins,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Valor auditável de priority min code across origins no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_min_code_across_scales,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority min code across scales no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_p1_critical_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a priority p1 critical n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_p2_high_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a priority p2 high n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_p3_moderate_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a priority p3 moderate n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_p4_low_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a priority p4 low n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_p5_documentary_sufficiency_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a priority p5 documentary sufficiency n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_unknown_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a priority unknown n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
q01_confidence_class,Prioridade de investigação por pergunta,research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv,Valor auditável de q01 confidence class no módulo experimental V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
q01_confidence_code,Prioridade de investigação por pergunta,research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv,Contagem ou código controlado associado a q01 confidence code no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
q01_confidence_label,Prioridade de investigação por pergunta,research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv,Valor auditável de q01 confidence label no módulo experimental V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
q01_context_gate_n,Prioridade de investigação por pergunta,research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv,Contagem ou código controlado associado a q01 context gate n no produto V2.6.,Conjunção de evidência direta e requisitos intermediários explicitados no registro de regras da pergunta.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
q01_cross_scale_priority_exact_pct,Prioridade de investigação por pergunta,research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv,"Percentual associado a q01 cross scale priority exact pct, com denominador explícito no produto V2.6.",Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,%,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
q01_fully_blocked_requirements_n,Prioridade de investigação por pergunta,research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv,Contagem ou código controlado associado a q01 fully blocked requirements n no produto V2.6.,"Requisito não demonstrado nos poços atribuídos à célula, sem inferir ausência física da propriedade.",n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
